0;1;2
-14.218707084655762;-31.791824340820312;-34.22404861450195
-16.617868423461914;-33.94020462036133;-34.83353042602539
8.431652069091797;-7.15604829788208;-14.18703556060791
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
-23.805313110351562;-7.455051898956299;6.165173530578613
-22.278118133544922;-3.67050838470459;10.986187934875488
-10.393378257751465;-1.4847251176834106;5.72177267074585
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
10.013189315795898;10.013189315795898;-1.0038923025131226
12.957669258117676;12.957669258117676;-2.6658947467803955
7.356097221374512;7.356097221374512;1.7967537641525269
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
-23.844707489013672;-44.714256286621094;-52.02253341674805
-29.462717056274414;-50.63075256347656;-55.4686164855957
-8.781085014343262;-17.46669578552246;-19.754484176635742
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-44.85647964477539;-28.07841682434082;-9.809147834777832
-45.063228607177734;-24.29226303100586;-2.292558193206787
-17.618824005126953;-12.449993133544922;-3.367936849594116
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
-0.6828298568725586;-5.801094055175781;-9.809147834777832
7.0845232009887695;-2.0618019104003906;-2.292558431625366
5.02295446395874;4.899031639099121;-3.367936849594116
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-0.6828298568725586;-5.801094055175781;-19.02664566040039
7.0845232009887695;-2.0618019104003906;-21.00165557861328
5.02295446395874;4.899031639099121;-4.119264602661133
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
-29.704782485961914;-31.483745574951172;-22.894527435302734
-36.05777359008789;-38.19694900512695;-24.96012306213379
-15.513304710388184;-22.91526222229004;-21.403369903564453
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-1.999999987845058e-08;1.999999987845058e-08;-1.999999987845058e-08
-7.3652663230896;6.755401134490967;14.147902488708496
-2.7367870807647705;15.715880393981934;23.97901725769043
-9.888202667236328;4.468591213226318;12.082015037536621
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
1.999999987845058e-08;-1.999999987845058e-08;1.999999987845058e-08
-4.798801422119141;-13.126761436462402;-13.281434059143066
0.393715500831604;-8.989603042602539;-9.610283851623535
3.6781604290008545;-1.3143912553787231;-3.8545949459075928
